#,ticker,close_q4_2024
279,LW,65.53
280,LVS,50.49
281,LDOS,143.24
282,LEN,130.35
283,LII,606.6
284,LLY,767.41
285,LIN,415.95
286,LYV,129.5
287,LKQ,35.89
288,LMT,479.08
289,L,84.51
290,LOW,243.14
291,LULU,382.41
292,LYB,71.22
293,MLM,514.91
294,MTB,185.31
295,MPC,137.16
296,MKTX,223.47
297,MAR,276.9
298,MMC,210.01
299,MAS,71.6
300,MA,524.25
301,MTCH,32.13
302,MKC,75.34
303,MCD,286.6
304,MRNA,41.58
305,MCK,568.72
306,MDT,78.6
307,MRK,97.65
308,META,584.54
309,MET,80.15
310,MCO,470.72
311,MTD,1223.68
312,MGM,34.65
313,MCHP,56.1
314,MU,83.97
315,MSFT,419.2
316,MAA,150.04
317,MHK,119.13
318,MOH,291.05
319,TAP,56.37
320,MDLZ,58.9
321,MPWR,588.86
322,MNST,52.56
323,MS,123.04
324,MOS,24.21
325,MSI,459.8
326,MSCI,594.35
327,PGR,234.91
328,NDAQ,76.81
329,NTAP,114.27
330,NFLX,891.32
331,NEM,36.83
332,NWSA,27.44
333,NSC,230.89
334,NWS,30.33
335,NEE,70.53
336,NKE,74.79
337,NI,35.99
338,NDSN,206.92
339,PLD,103.78
340,NTRS,100.98
341,NOC,464.97
342,NCLH,25.73
343,NRG,89.24
344,NUE,115.7
345,NVDA,134.27
346,NVR,8178.9
347,NXPI,205.87
348,ORLY,79.05
349,OXY,48.89
350,ODFL,175.82
351,OMC,84.5
352,ON,63.05
353,OKE,96.87
354,ORCL,165.29
355,OTIS,91.4
356,PCAR,103
357,PKG,222.22
358,PLTR,75.63
359,PANW,181.96
360,PARA,10.37
361,PH,632.75
362,PAYX,137.27
363,PAYC,204.31
364,PYPL,85.35
365,PNR,99.85
366,PEP,149.09
367,PFE,25.18
368,PCG,20.11
369,PM,118.41
370,PSX,110.74
371,PNW,82.28
372,PNC,187.67
373,POOL,337.1
374,PPG,117.24
375,PPL,31.94
376,PFG,75.96
377,PG,164.48
378,PRU,114.17
379,PEG,83.16
380,PTC,183.87
381,PSA,293.52
382,PHM,108.44
383,PWR,315.75
384,QCOM,151.88
385,DGX,148.72
386,RL,229.37
387,RJF,153.77
388,RTX,114.05
389,O,51.42
390,REG,72.51
391,REGN,709.29
392,RF,23
393,RSG,199.65
394,RMD,227.21
395,RVTY,111.38
396,ROK,282.23
397,ROL,45.94
398,ROP,517.52
399,ROST,150.35
400,RCL,229.24
401,SPGI,496.21
402,CRM,333.28
403,SBAC,200.78
404,SLB,37.76
405,STX,85.16
406,SRE,86.18
407,NOW,1060.12
408,SHW,337.72
409,SPG,167.89
410,SWKS,86.87
411,SJM,106.88
412,SW,52.42
413,SNA,332.92
414,SOLV,66.06
415,SO,80.31
416,LUV,33.23
417,SWK,78.49
418,SBUX,89.53
419,STT,95.87
420,STLD,113.18
421,STE,204.55
422,SYK,358.45
423,SMCI,30.48
424,SYF,64.13
425,SNPS,485.36
426,SYY,74.91
427,TMUS,219.19
428,TROW,110.03
429,TTWO,184.08
430,TPR,64.76
431,TRGP,175.79
432,TGT,131.1
433,TEL,141.75
434,TDY,464.13
435,TER,125.59
436,TSLA,403.84
437,WAB,188.86
438,TXN,183.23
439,TPL,1103.13
440,TXT,76.45
441,TMO,519.25
442,TJX,119.68
443,TKO,141.4
444,TSCO,52.6
445,TT,367.53
446,TDG,1267.28
447,TRV,238.92
448,TRMB,70.66
449,TFC,41.82
450,TYL,576.64
451,TSN,56.46
452,USB,46.75
453,WELL,124.34
454,UBER,60.32
455,UDR,42.06
456,ULTA,434.93
457,UNP,225.43
458,UAL,97.1
459,UPS,120.04
460,URI,699.65
461,UNH,500.16
462,UHS,179.03
463,VLO,119.6
464,VTR,58.03
465,VLTO,101.62
466,VRSN,205.8
467,VRSK,274.61
468,VZ,38.06
469,VRTX,402.7
470,VTRS,11.99
471,VICI,28.43
472,V,314.43
473,VST,137.46
474,VMC,255.77
475,WRB,57.98
476,GWW,1047.17
477,WBA,9.33
478,WMT,89.68
479,DIS,110.88
480,WBD,10.57
481,XYL,115.29
482,WM,200.35
483,WAT,370.98
484,WEC,91.68
485,WFC,69.11
486,YUM,132.88
487,WST,326.76
488,WDC,44.99
489,WY,27.73
490,WSM,183.05
491,WMB,53.19
492,WTW,311.44
493,WDAY,258.03
494,WYNN,85.51
495,XEL,65.86
496,ZBRA,386.22
497,ZBH,105.13
498,ZTS,161.35
